t;x;x_d;x_dd;x_ddd;x_dddd;F
0.000000;0.000000;0.000000;0.000000;0.000000;18.810000;10.000000
0.010000;0.000000;0.000003;0.000905;0.177413;16.712505;9.970045
0.020000;0.000000;0.000024;0.003482;0.335004;14.841449;9.940180
0.030000;0.000001;0.000078;0.007546;0.474914;13.172410;9.910404
0.040000;0.000002;0.000179;0.012928;0.599052;11.683599;9.880717
0.050000;0.000004;0.000340;0.019480;0.709122;10.355578;9.851119
0.060000;0.000009;0.000572;0.027069;0.806641;9.171003;9.821610
0.070000;0.000016;0.000885;0.035576;0.892968;8.114405;9.792190
0.080000;0.000027;0.001286;0.044895;0.969310;7.171978;9.762857
0.090000;0.000042;0.001785;0.054932;1.036746;6.331409;9.733612
0.100000;0.000063;0.002387;0.065603;1.096240;5.581712;9.704455
0.110000;0.000090;0.003099;0.076833;1.148651;4.913085;9.675386
0.120000;0.000125;0.003925;0.088555;1.194743;4.316785;9.646403
0.130000;0.000169;0.004871;0.100709;1.235201;3.785009;9.617507
0.140000;0.000223;0.005941;0.113243;1.270635;3.310798;9.588698
0.150000;0.000288;0.007137;0.126107;1.301588;2.887943;9.559975
0.160000;0.000366;0.008464;0.139261;1.328546;2.510904;9.531338
0.170000;0.000458;0.009923;0.152666;1.351942;2.174740;9.502787
0.180000;0.000565;0.011518;0.166289;1.372162;1.875041;9.474321
0.190000;0.000689;0.013250;0.180100;1.389551;1.607874;9.445941
0.200000;0.000831;0.015120;0.194072;1.404417;1.369729;9.417645
0.210000;0.000992;0.017132;0.208181;1.417032;1.157476;9.389435
0.220000;0.001174;0.019284;0.222406;1.427643;0.968322;9.361309
0.230000;0.001378;0.021580;0.236728;1.436467;0.799774;9.333267
0.240000;0.001606;0.024019;0.251130;1.443700;0.649610;9.305309
0.250000;0.001859;0.026603;0.265597;1.449514;0.515847;9.277435
0.260000;0.002138;0.029331;0.280116;1.454065;0.396714;9.249644
0.270000;0.002446;0.032205;0.294675;1.457492;0.290634;9.221937
0.280000;0.002783;0.035225;0.309262;1.459917;0.196197;9.194313
0.290000;0.003151;0.038391;0.323870;1.461450;0.112148;9.166771
0.300000;0.003551;0.041702;0.338489;1.462191;0.037366;9.139312
0.310000;0.003985;0.045160;0.353111;1.462225;-0.029150;9.111935
0.320000;0.004455;0.048765;0.367731;1.461632;-0.088292;9.084640
0.330000;0.004961;0.052515;0.382342;1.460481;-0.140855;9.057427
0.340000;0.005506;0.056411;0.396939;1.458835;-0.187550;9.030296
0.350000;0.006090;0.060454;0.411517;1.456748;-0.229011;9.003245
0.360000;0.006715;0.064642;0.426073;1.454270;-0.265801;8.976276
0.370000;0.007383;0.068975;0.440602;1.451445;-0.298426;8.949387
0.380000;0.008095;0.073454;0.455101;1.448314;-0.327336;8.922580
0.390000;0.008853;0.078077;0.469567;1.444910;-0.352932;8.895852
0.400000;0.009657;0.082845;0.483998;1.441265;-0.375571;8.869204
0.410000;0.010510;0.087757;0.498392;1.437407;-0.395574;8.842637
0.420000;0.011413;0.092813;0.512746;1.433361;-0.413225;8.816148
0.430000;0.012367;0.098012;0.527058;1.429150;-0.428778;8.789740
0.440000;0.013374;0.103354;0.541328;1.424792;-0.442461;8.763410
0.450000;0.014434;0.108838;0.555554;1.420306;-0.454476;8.737159
0.460000;0.015551;0.114465;0.569734;1.415707;-0.465002;8.710987
0.470000;0.016724;0.120233;0.583868;1.411010;-0.474202;8.684893
0.480000;0.017956;0.126142;0.597954;1.406227;-0.482219;8.658877
0.490000;0.019248;0.132191;0.611992;1.401369;-0.489181;8.632940
0.500000;0.020600;0.138381;0.625981;1.396447;-0.495202;8.607080
0.510000;0.022016;0.144711;0.639921;1.391468;-0.500385;8.581297
0.520000;0.023495;0.151180;0.653810;1.386442;-0.504820;8.555592
0.530000;0.025040;0.157787;0.667649;1.381374;-0.508589;8.529964
0.540000;0.026651;0.164532;0.681438;1.376272;-0.511764;8.504412
0.550000;0.028331;0.171416;0.695175;1.371140;-0.514410;8.478937
0.560000;0.030080;0.178436;0.708860;1.365985;-0.516584;8.453538
0.570000;0.031900;0.185593;0.722494;1.360810;-0.518338;8.428216
0.580000;0.033792;0.192885;0.736076;1.355620;-0.519718;8.402969
0.590000;0.035758;0.200314;0.749607;1.350417;-0.520764;8.377798
0.600000;0.037799;0.207877;0.763085;1.345205;-0.521514;8.352702
0.610000;0.039916;0.215575;0.776511;1.339988;-0.521999;8.327682
0.620000;0.042111;0.223407;0.789885;1.334766;-0.522249;8.302736
0.630000;0.044385;0.231373;0.803206;1.329543;-0.522290;8.277865
0.640000;0.046739;0.239471;0.816475;1.324321;-0.522144;8.253069
0.650000;0.049175;0.247702;0.829692;1.319101;-0.521834;8.228347
0.660000;0.051693;0.256065;0.842857;1.313885;-0.521376;8.203699
0.670000;0.054296;0.264559;0.855970;1.308674;-0.520787;8.179124
0.680000;0.056985;0.273184;0.869031;1.303469;-0.520082;8.154624
0.690000;0.059760;0.281940;0.882040;1.298273;-0.519275;8.130196
0.700000;0.062624;0.290825;0.894996;1.293084;-0.518376;8.105842
0.710000;0.065577;0.299839;0.907901;1.287905;-0.517396;8.081561
0.720000;0.068621;0.308983;0.920755;1.282737;-0.516344;8.057353
0.730000;0.071757;0.318254;0.933556;1.277579;-0.515229;8.033217
0.740000;0.074987;0.327654;0.946306;1.272432;-0.514058;8.009154
0.750000;0.078311;0.337180;0.959005;1.267298;-0.512838;7.985162
0.760000;0.081731;0.346834;0.971652;1.262176;-0.511574;7.961243
0.770000;0.085248;0.356613;0.984248;1.257066;-0.510272;7.937395
0.780000;0.088864;0.366518;0.996794;1.251970;-0.508936;7.913618
0.790000;0.092579;0.376549;1.009288;1.246888;-0.507570;7.889913
0.800000;0.096395;0.386704;1.021731;1.241819;-0.506179;7.866279
0.810000;0.100313;0.396983;1.034124;1.236764;-0.504765;7.842715
0.820000;0.104335;0.407386;1.046467;1.231724;-0.503332;7.819222
0.830000;0.108461;0.417913;1.058759;1.226698;-0.501882;7.795800
0.840000;0.112694;0.428561;1.071001;1.221686;-0.500417;7.772447
0.850000;0.117033;0.439332;1.083193;1.216689;-0.498940;7.749165
0.860000;0.121481;0.450225;1.095334;1.211707;-0.497453;7.725952
0.870000;0.126038;0.461239;1.107427;1.206740;-0.495956;7.702809
0.880000;0.130706;0.472373;1.119469;1.201788;-0.494452;7.679735
0.890000;0.135486;0.483628;1.131463;1.196851;-0.492942;7.656731
0.900000;0.140379;0.495003;1.143406;1.191929;-0.491427;7.633795
0.910000;0.145386;0.506496;1.155301;1.187023;-0.489907;7.610928
0.920000;0.150509;0.518108;1.167147;1.182131;-0.488385;7.588129
0.930000;0.155749;0.529839;1.178944;1.177255;-0.486861;7.565399
0.940000;0.161106;0.541687;1.190692;1.172394;-0.485336;7.542737
0.950000;0.166583;0.553653;1.202392;1.167548;-0.483810;7.520143
0.960000;0.172180;0.565735;1.214043;1.162718;-0.482283;7.497616
0.970000;0.177898;0.577933;1.225646;1.157903;-0.480757;7.475157
0.980000;0.183739;0.590248;1.237201;1.153103;-0.479232;7.452765
0.990000;0.189703;0.602677;1.248708;1.148318;-0.477708;7.430440
1.000000;0.195793;0.615222;1.260168;1.143549;-0.476185;7.408182
1.010000;0.202008;0.627880;1.271579;1.138794;-0.474665;7.385991
1.020000;0.208351;0.640653;1.282944;1.134055;-0.473147;7.363866
